Quarter Ending,4/28/2024,1/28/2024,10/29/2023,7/30/2023,4/30/2023,1/29/2023,10/30/2022,7/31/2022,5/1/2022,1/30/2022,10/31/2021,8/1/2021,5/2/2021,1/31/2021,10/25/2020,7/26/2020,4/26/2020,1/26/2020,10/27/2019,7/28/2019
EPS (Basic),0.6,0.5,0.38,0.25,0.08,0.06,0.03,0.03,0.07,0.12,0.1,0.1,0.08,0.06,0.05,0.03,0.04,0.04,0.04,0.02
EPS (Diluted),0.6,0.49,0.37,0.25,0.08,0.06,0.03,0.03,0.06,0.12,0.1,0.09,0.08,0.06,0.05,0.03,0.04,0.04,0.04,0.02
EPS Growth,629.27%,763.16%,1274.07%,853.85%,28.13%,-51.69%,-72.16%,-72.34%,-15.79%,103.45%,83.02%,276.00%,105.41%,52.63%,47.22%,13.64%,131.25%,65.22%,-26.53%,-50.00%
Free Cash Flow,14976,11245,7054,6059,2663,1739,-138,837,1370,2760,1297,2499,1576,1784,806,1350,754,1320,1537,823
Free Cash Flow Per Share,0.61,0.46,0.29,0.24,0.11,0.07,-0.01,0.03,0.06,0.11,0.05,0.1,0.06,0.07,0.03,0.06,0.03,0.05,0.06,0.03
Dividend Per Share,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Gross Margin,78.35%,75.97%,73.95%,70.05%,64.63%,63.34%,53.57%,43.48%,65.53%,65.41%,65.20%,64.78%,64.11%,63.08%,62.63%,58.85%,65.06%,64.90%,63.57%,59.75%
Operating Margin,64.92%,61.59%,57.49%,50.34%,29.76%,20.76%,10.13%,7.44%,22.54%,38.86%,37.60%,37.56%,34.55%,30.12%,29.58%,16.84%,31.69%,31.88%,30.76%,22.14%
Profit Margin,57.14%,55.58%,51.01%,45.81%,28.41%,23.37%,11.47%,9.79%,19.52%,39.29%,34.69%,36.48%,33.77%,29.12%,28.27%,16.09%,29.77%,30.63%,29.83%,21.40%
Free Cash Flow Margin,57.50%,50.88%,38.93%,44.86%,37.03%,28.74%,-2.33%,12.49%,16.53%,36.11%,18.26%,38.40%,27.84%,35.66%,17.05%,34.92%,24.48%,42.51%,51.00%,31.91%
Effective Tax Rate,13.88%,12.91%,12.16%,11.36%,7.51%,-9.78%,-10.93%,-38.11%,10.36%,-4.82%,6.60%,0.84%,6.46%,0.88%,0.89%,-2.13%,6.52%,6.40%,6.26%,8.91%
EBITDA,17753,14556,10957,7411,2659,1778,1084,918,2207,3235,2998,2740,2378,1811,1700,1067,1113,1135,1064,711
EBITDA Margin,68.17%,65.86%,60.47%,54.87%,36.97%,29.38%,18.28%,13.69%,26.63%,42.33%,42.21%,42.11%,42.01%,36.20%,35.97%,27.60%,36.14%,36.55%,35.30%,27.57%
Depreciation & Amortization,410,387,372,365,384,426,406,378,334,309,298,286,281,288,299,404,107,106,92,92
EBIT,17343,14169,10585,7046,2275,1352,678,540,1873,2926,2700,2454,2097,1523,1401,663,1006,1029,972,619
EBIT Margin,66.59%,64.10%,58.42%,52.17%,31.63%,22.34%,11.43%,8.05%,22.60%,38.28%,38.01%,37.71%,37.04%,30.44%,29.64%,17.15%,32.66%,33.14%,32.25%,24.00%
