Quarter Ending,3/31/2024,12/31/2023,9/30/2023,6/30/2023,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019
Free Cash Flow,5054,29112,9919,6064,-8282,13733,-3637,-5133,-16532,5616,-7438,-273,-6974,17237,2156,13991,-2364,15719,4507,6475
Free Cash Flow Per Share,0.49,2.81,0.96,0.59,-0.81,1.34,-0.36,-0.5,-1.63,0.55,-0.73,-0.03,-0.69,1.72,0.21,1.4,-0.24,1.58,0.46,0.66
Gross Margin,49.32%,45.54%,47.57%,48.38%,46.77%,42.60%,44.71%,45.21%,42.89%,39.72%,43.21%,43.25%,42.50%,36.85%,40.60%,40.77%,41.34%,38.27%,40.98%,42.69%
Operating Margin,10.68%,7.77%,7.82%,5.72%,3.75%,1.83%,1.99%,2.74%,3.15%,2.52%,4.38%,6.81%,8.17%,5.47%,6.44%,6.57%,5.29%,4.44%,4.51%,4.86%
Profit Margin,7.28%,6.25%,6.90%,5.02%,2.49%,0.19%,2.26%,-1.67%,-3.30%,10.42%,2.85%,6.88%,7.47%,5.75%,6.58%,5.90%,3.36%,3.74%,3.05%,4.14%
Free Cash Flow Margin,3.53%,17.13%,6.93%,4.51%,-6.50%,9.20%,-2.86%,-4.23%,-14.20%,4.09%,-6.71%,-0.24%,-6.43%,13.73%,2.24%,15.74%,-3.13%,17.98%,6.44%,10.21%
Effective Tax Rate,19.13%,22.37%,18.92%,10.64%,23.01%,-,2.35%,-,-,4.10%,26.79%,10.04%,21.01%,7.26%,8.25%,15.80%,22.69%,19.39%,18.80%,8.92%
EBITDA,25226,28219,25122,19983,16066,12430,13885,7635,4399,25356,13752,17119,18170,15748,13851,12378,9043,10679,8587,8467
EBITDA Margin,17.60%,16.60%,17.56%,14.87%,12.61%,8.33%,10.92%,6.30%,3.78%,18.45%,12.41%,15.14%,16.74%,12.54%,14.41%,13.92%,11.99%,12.21%,12.27%,13.35%
Depreciation & Amortization,11684,13820,12131,11589,11123,12685,10327,9716,9193,9939,8948,8038,7508,7547,6523,5748,5362,6170,5563,5202
EBIT,13542,14399,12991,8394,4943,-255,3558,-2081,-4794,15417,4804,9081,10662,8201,7328,6630,3681,4509,3024,3265
EBIT Margin,9.45%,8.47%,9.08%,6.25%,3.88%,-0.17%,2.80%,-1.72%,-4.12%,11.22%,4.34%,8.03%,9.83%,6.53%,7.62%,7.46%,4.88%,5.16%,4.32%,5.15%
